"POR_NUMBER","POR_PRO_ID","POR_DATE"
"4777621874","815","16.06.2005 10:00:00"
"4777621875","815","16.06.2005 10:00:00"
"4777621876","815","16.06.2005 10:00:00"
"4777621877","815","16.06.2005 10:00:00"
"4777621878","815","16.06.2005 10:00:00"
"4777621879","815","16.06.2005 10:00:00"
"4777621880","815","16.06.2005 10:00:00"
"4777621881","815","16.06.2005 10:00:00"
"4777621882","815","16.06.2005 10:00:00"
"4777621883","815","16.06.2005 10:00:00"
"4777621884","815","16.06.2005 10:00:00"
"4777621885","815","16.06.2005 10:00:00"
"4777621886","815","16.06.2005 10:00:00"
"4777621887","815","16.06.2005 10:00:00"
"4777621888","815","16.06.2005 10:00:00"
"4777621889","815","16.06.2005 10:00:00"
"4777621890","815","16.06.2005 10:00:00"
"4777621891","815","16.06.2005 10:00:00"
"4777621892","815","16.06.2005 10:00:00"
"4777621893","815","16.06.2005 10:00:00"
"4777621894","815","16.06.2005 10:00:00"
"4777621895","815","16.06.2005 10:00:00"
"4777621896","815","16.06.2005 10:00:00"
"4777621897","815","16.06.2005 10:00:00"
"4777621898","815","16.06.2005 10:00:00"
"4777621899","815","16.06.2005 10:00:00"
"4777621767","815","16.06.2005 10:00:00"
"4777621768","815","16.06.2005 10:00:00"
"4777621769","815","16.06.2005 10:00:00"
"4777621770","815","16.06.2005 10:00:00"
"4777621771","815","16.06.2005 10:00:00"
"4777621772","815","16.06.2005 10:00:00"
"4777621773","815","16.06.2005 10:00:00"
"4777621774","815","16.06.2005 10:00:00"
"4777621775","815","16.06.2005 10:00:00"
"4777621776","815","16.06.2005 10:00:00"
"4777621777","815","16.06.2005 10:00:00"
"4777621778","815","16.06.2005 10:00:00"
"4777621779","815","16.06.2005 10:00:00"
"4777621780","815","16.06.2005 10:00:00"
"4777621781","815","16.06.2005 10:00:00"
"4777621782","815","16.06.2005 10:00:00"
"4777621783","815","16.06.2005 10:00:00"
"4777621784","815","16.06.2005 10:00:00"
"4777621785","815","16.06.2005 10:00:00"
"4777621786","815","16.06.2005 10:00:00"
"4777621787","815","16.06.2005 10:00:00"
"4777621788","815","16.06.2005 10:00:00"
"4777621789","815","16.06.2005 10:00:00"
"4777621790","815","16.06.2005 10:00:00"
"4777621791","815","16.06.2005 10:00:00"
"4777621792","815","16.06.2005 10:00:00"
"4777621793","815","16.06.2005 10:00:00"
"4777621794","815","16.06.2005 10:00:00"
"4777621795","815","16.06.2005 10:00:00"
"4777621796","815","16.06.2005 10:00:00"
"4777621797","815","16.06.2005 10:00:00"
"4777621798","815","16.06.2005 10:00:00"
"4777621799","815","16.06.2005 10:00:00"
"4777621800","815","16.06.2005 10:00:00"
"4777621801","815","16.06.2005 10:00:00"
"4777621802","815","16.06.2005 10:00:00"
"4777621803","815","16.06.2005 10:00:00"
"4777621804","815","16.06.2005 10:00:00"
"4777621805","815","16.06.2005 10:00:00"
"4777621806","815","16.06.2005 10:00:00"
"4777621807","815","16.06.2005 10:00:00"
"4777621808","815","16.06.2005 10:00:00"
"4777621809","815","16.06.2005 10:00:00"
"4777621810","815","16.06.2005 10:00:00"
"4777621811","815","16.06.2005 10:00:00"
"4777621812","815","16.06.2005 10:00:00"
"4777621813","815","16.06.2005 10:00:00"
"4777621814","815","16.06.2005 10:00:00"
"4777621815","815","16.06.2005 10:00:00"
"4777621816","815","16.06.2005 10:00:00"
"4777621817","815","16.06.2005 10:00:00"
"4777621818","815","16.06.2005 10:00:00"
"4777621819","815","16.06.2005 10:00:00"
"4777621820","815","16.06.2005 10:00:00"
"4777621821","815","16.06.2005 10:00:00"
"4777621822","815","16.06.2005 10:00:00"
"4777621823","815","16.06.2005 10:00:00"
"4777621824","815","16.06.2005 10:00:00"
"4777621825","815","16.06.2005 10:00:00"
"4777621826","815","16.06.2005 10:00:00"
"4777621827","815","16.06.2005 10:00:00"
"4777621828","815","16.06.2005 10:00:00"
"4777621829","815","16.06.2005 10:00:00"
"4777621830","815","16.06.2005 10:00:00"
"4777621831","815","16.06.2005 10:00:00"
"4777621832","815","16.06.2005 10:00:00"
"4777621833","815","16.06.2005 10:00:00"
"4777621834","815","16.06.2005 10:00:00"
"4777621835","815","16.06.2005 10:00:00"
"4777621836","815","16.06.2005 10:00:00"
"4777621837","815","16.06.2005 10:00:00"
"4777621838","815","16.06.2005 10:00:00"
"4777621700","815","16.06.2005 10:00:00"
"4777621701","815","16.06.2005 10:00:00"
"4777621702","815","16.06.2005 10:00:00"
"4777621703","815","16.06.2005 10:00:00"
"4777621704","815","16.06.2005 10:00:00"
"4777621705","815","16.06.2005 10:00:00"
"4777621706","815","16.06.2005 10:00:00"
"4777621707","815","16.06.2005 10:00:00"
"4777621708","815","16.06.2005 10:00:00"
"4777621709","815","16.06.2005 10:00:00"
"4777621710","815","16.06.2005 10:00:00"
"4777621711","815","16.06.2005 10:00:00"
"4777621712","815","16.06.2005 10:00:00"
"4777621713","815","16.06.2005 10:00:00"
"4777621714","815","16.06.2005 10:00:00"
"4777621715","815","16.06.2005 10:00:00"
"4777621716","815","16.06.2005 10:00:00"
"4777621717","815","16.06.2005 10:00:00"
"4777621718","815","16.06.2005 10:00:00"
